id|name|type|area|population2025|population2035|density2025|density2035|lat|lng
05|Antioquia|departamento|62805|6951825|7285210|110.69|116|6.247666246466984|-75.56582046217048
08|Atlántico|departamento|3314|2845169|2932271|858.58|884.86|11.004103058520405|-74.80698217192324
11|Bogotá, D.C.|departamento|1623|7937898|7802297|4891.32|4807.77|4.710992586934781|-74.07208912630547
13|Bolívar|departamento|26719|2278770|2362817|85.29|88.43|10.393230138960902|-75.48323015710736
15|Boyacá|departamento|23138|1324122|1419117|57.23|61.33|5.5446450454648275|-73.3575586142127
17|Caldas|departamento|7425|1051282|1088038|141.58|146.53|5.062976176550608|-75.5027683341614
18|Caquetá|departamento|92831|430884|445942|4.64|4.80|1.6153871632800005|-75.6042423506718
19|Cauca|departamento|31243|1590171|1722536|50.90|55.13|2.4448108771241337|-76.6147360823921
20|Cesar|departamento|22565|1414859|1560560|62.70|69.15|10.474243749576862|-73.24362876361033
23|Córdoba|departamento|25087|1929336|2038014|76.90|81.24|8.750989021316137|-75.87853409967698
25|Cundinamarca|departamento|22370|3657407|4602230|163.49|205.72|5.025870811201106|-74.0013011722709
27|Chocó|departamento|48353|615082|692147|12.72|14.31|5.691457978333785|-76.658982192699
41|Huila|departamento|18142|1205318|1309775|66.44|72.20|2.9344811441823975|-75.28089531386306
44|La Guajira|departamento|20619|1073851|1205360|52.08|58.46|11.538415300066111|-72.91678660122315
47|Magdalena|departamento|23136|1529038|1638460|66.09|70.81|11.240358603224783|-74.21102533633395
50|Meta|departamento|82799|1160351|1277632|14.01|15.43|4.149174641709514|-73.62854906922202
52|Nariño|departamento|31498|1719281|1786054|54.58|56.70|1.2058330385877363|-77.28583344903598
54|Norte de Santander|departamento|21857|1717992|1743800|78.60|79.78|7.8891077061046895|-72.4966914341166
63|Quindío|departamento|1934|568560|585913|294.05|303.02|4.535009856882264|-75.67568993848424
66|Risaralda|departamento|3557|974639|968595|274.02|272.32|4.808724897784952|-75.69060120947019
68|Santander|departamento|30562|2393214|2501133|78.31|81.84|7.119355718616264|-73.12274251787196
70|Sucre|departamento|10592|1016826|1100018|96|103.86|9.304583784401117|-75.39055785897516
73|Tolima|departamento|24139|1386826|1427898|57.45|59.15|4.444677948928614|-75.24243912425071
76|Valle del Cauca|departamento|20666|4652512|4622334|225.13|223.67|3.4516518339811086|-76.53198590225193
81|Arauca|departamento|23851|320723|339465|13.45|14.23|7.081118614699325|-70.75361204285787
85|Casanare|departamento|44394|481938|535547|10.86|12.06|5.34890808455065|-72.40052192096131
86|Putumayo|departamento|25976|393988|437045|15.17|16.82|1.147802518923097|-76.64812890413349
88|Archipiélago de San Andrés, Providencia y Santa Catalina|departamento|49|62181|60195|1258.10|1217.92|12.543001238538693|-81.71649259424889
91|Amazonas|departamento|109497|87480|96663|0.80|0.88|-4.203156615398914|-69.93590949981707
94|Guainía|departamento|71289|59240|71339|0.82|1|3.870211430764691|-67.92433794279442
95|Guaviare|departamento|55575|103237|127141|1.86|2.29|2.5677655490495725|-72.63965428304638
97|Vaupés|departamento|53299|49142|61074|0.92|1.15|1.2521796529455627|-70.23361653520975
99|Vichada|departamento|100063|127467|143538|1.27|1.43|6.189924111296757|-67.48256818764092
