id_register|external_id|nit|namegooglemaps|name_register|complexity|services|accreditationcode|lat|lng|departmentid|departmentname|municipalityid|municipalityname|localityid|localityname|service_level|camas|quirofano|ambulancias
306|891855438-1|891855438|Hospital Regional de Duitama|Empresa Social del Estado Hospital Regional de Duitama|2|cx maxilofacial, cx dermatológica, cx otras cxs, cx vascular, cx angiológica, cx pediátrica, cx neurocirugía, cx urológica, cx plástica, cx estética, cx otorrinolaringológica, cx ortopédica, cx ginecológica, cx general|1523800664|5.811809594399092|-73.03132800552976|15|Boyacá|15238|Duitama|||2|135|16|6
152|800099652-1|800099652|Clinica La Carolina|Clínica La Carolina S.A.S.|2|cx dermatológica, cx urológica, cx plástica, cx estética, cx pediátrica, cx oral, cx general, cx ginecológica, cx maxilofacial, cx ortopédica, cx otorrinolaringología|1100107683|4.704414702155407|-74.0410900002528|11|Bogotá D.C.|11001|Bogotá D.C.|1100101|Usaquén|2|0|5|0
409|900218628-1|900218628|Centro Médico San Luis Clínica Quirurgica Cajicá|Centro Médico San Luis Clínica Quirúrgica S.A.S.|2|cx urológica, cx otorrinolaringología, cx general, cx ginecológica, cx ortopédica, cx neurocirugía, cx mano, cx plástica, cx estética, cx maxilofacial|2512602169|4.915446839579079|-74.02548280112961|25|Cundinamarca|25126|Cajicá|||2|33|3|2
290|901602010-1|901602010|CLÍNICA MAR AZUL|Clínica Mar Azul IPS S.A.S.|0|cx plástica, cx estética, cx otorrinolaringología, cx ortopédica, cx maxilofacial, cx general|1300103568|10.408202568951646|-75.50435472476818|13|Bolívar|13001|Cartagena de Indias|||2|7|2|0
260|800234860-1|800234860|MEDICAL CENTER LITOTRICIA S.A|Litotricia S.A.|2|cx ortopédica, cx maxilofacial, cx dermatológica, cx ginecológica, cx general, cx otorrinolaringología, cx oral, cx mano, cx pediátrica, cx plástica, cx estética, cx urológica|1300100057|10.396941284929628|-75.55682774891326|13|Bolívar|13001|Cartagena de Indias|||2|7|7|0
658|805023423-2|805023423|Clínica Nuestra Ibagué|Clínica Nuestra Sede Ibagué|2|cx general, cx ginecológica, cx maxilofacial, cx ortopédica, cx plástica, cx estética, cx vascular, cx angiológica, cx mano, cx neurocirugía|7300102174|4.430546544280079|-75.19983495103688|73|Tolima|73001|Ibagué|||2|94|6|0
344|891501676-1|891501676|Hospital Susana López de Valencia|Hospital Susana López de Valencia|2|cx general, cx ginecológica, cx maxilofacial, cx ortopédica, cx oftalmológica, cx otorrinolaringológica, cx pediátrica, cx plástica, cx estética, cx vascular, cx angiológica, cx urológica, cx otras cxs, cx tórax, cx mano, cx gastrointestinal|1900100023|2.437339515698292|-76.61925030199892|19|Cauca|19001|Popayán|||2|230|12|3
461|900957139-1|900957139|SERVICIOS DE SALUD ESPECIALIZADOS SAS|Servicios de Salud Especializados S.A.S.|2|cx urológica, cx oftalmológica, cx plástica, cx estética, cx pediátrica, cx otorrinolaringología, cx ortopédica, cx maxilofacial, cx general|4400101020|11.54586071237626|-72.90950921945657|44|La Guajira|44001|Riohacha|||2|0|4|0
19|890900650-1|890900650|Clínica de oftalmología Santa Lucía - Av. El Poblado|Clínica de Oftalmología Santa Lucía|2|cx oftalmológica, cx otorrinolaringología, cx plástica, cx estética|500101615|6.215478559392075|-75.56977939900673|05|Antioquia|05001|Medellín|||2|0|6|0
309|800152970-1|800152970|Hospital Regional de Miraflores (Boyacá)|Hospital Regional de Miraflores E.S.E.|2|cx general, cx ginecológica, cx ortopédica|1545500726|5.195493743750158|-73.14269592674758|15|Boyacá|15455|Miraflores|||2|19|4|3
