id|name|type|area|population2025|population2035|density2025|density2035|localityId|municipalityId|municipalityName|lat|lng
1100101|Usaquén|localidad|65|602412|687885|9191|10496|01|11001|BOGOTÁ, D.C.|4.742092413856286|-74.02782483459404
1100102|Chapinero|localidad|38|184757|204121|4862|5372|02|11001|BOGOTÁ, D.C.|4.654108361508524|-74.0557133530618
1100103|Santa Fe|localidad|45|107851|115972|2387|2567|03|11001|BOGOTÁ, D.C.|4.611499608778259|-74.07019825112471
1100104|San Cristóbal|localidad|49|411570|439049|8383|8944|04|11001|BOGOTÁ, D.C.|4.558937042050029|-74.09154600030071
1100105|Usme|localidad|215|422489|502274|1964|2336|05|11001|BOGOTÁ, D.C.|4.507385369284131|-74.1137827298665
1100106|Tunjuelito|localidad|10|186127|193527|18781|19528|06|11001|BOGOTÁ, D.C.|4.574841398493447|-74.13598945142014
1100107|Bosa|localidad|24|737647|771295|30825|32231|07|11001|BOGOTÁ, D.C.|4.621779959835884|-74.19438893446508
1100108|Kennedy|localidad|39|1041286|1081043|26990|28021|08|11001|BOGOTÁ, D.C.|4.6303473513560895|-74.15266762383382
1100109|Fontibón|localidad|33|411638|443296|12368|13320|09|11001|BOGOTÁ, D.C.|4.678182925952192|-74.14015130074624
1100110|Engativá|localidad|36|822369|849053|22971|23717|10|11001|BOGOTÁ, D.C.|4.701125563272901|-74.113187703298
1100111|Suba|localidad|101|1332958|1485355|13255|14771|11|11001|BOGOTÁ, D.C.|4.720632774380581|-74.07484419267104
1100112|Barrios Unidos|localidad|12|159163|177072|13375|14880|12|11001|BOGOTÁ, D.C.|4.669566933458008|-74.07355160510068
1100113|Teusaquillo|localidad|14|164384|160048|11584|11279|13|11001|BOGOTÁ, D.C.|4.642342927290326|-74.09041598956368
1100114|los Martires|localidad|7|82827|86592|12684|13261|14|11001|BOGOTÁ, D.C.|4.607155934954456|-74.08794786812679
1100115|Antonio Nariño|localidad|5|86119|95290|17683|19567|15|11001|BOGOTÁ, D.C.|4.588770674796082|-74.10284240061449
1100116|Puente Aranda|localidad|17|259314|264460|14980|15278|16|11001|BOGOTÁ, D.C.|4.616245470318945|-74.111580233529
1100117|Candelaria|localidad|2|18941|21601|9194|10486|17|11001|BOGOTÁ, D.C.|4.596605075136378|-74.07207079532802
1100118|Rafael Uribe Uribe|localidad|14|393869|412281|28479|29811|18|11001|BOGOTÁ, D.C.|4.566476900860273|-74.11336318293525
1100119|Ciudad Bolivar|localidad|130|671670|731503|5166|5627|19|11001|BOGOTÁ, D.C.|4.572702715412895|-74.15173431809167
1100120|Sumapaz|localidad|781|4021|4685|5.15|6|20|11001|BOGOTÁ, D.C.|4.055028934997607|-74.24141052568646
