id|name|type|area|population2025|population2035|density2025|density2035|departmentId|departmentName|lat|lng
05001|Medellín|municipio|375|2634570|2760854|7028.69|7365.60|05|ANTIOQUIA|6.2476433298350456|-75.56581512674175
05002|Abejorral|municipio|507|21622|22665|42.64|44.69|05|ANTIOQUIA|5.789752220317858|-75.42801798081977
05004|Abriaquí|municipio|297|2872|3021|9.67|10.17|05|ANTIOQUIA|6.632671855611354|-76.06634729235577
05021|Alejandría|municipio|129|4989|5240|38.69|40.64|05|ANTIOQUIA|6.3758395606004665|-75.14173816788407
05030|Amagá|municipio|84|32628|34193|387.82|406.42|05|ANTIOQUIA|6.037330096067161|-75.70228728755724
05031|Amalfi|municipio|1209|28059|29377|23.21|24.30|05|ANTIOQUIA|6.907850375000348|-75.07445844933291
05034|Andes|municipio|403|46485|48778|115.48|121.19|05|ANTIOQUIA|5.65640743604768|-75.8797579694556
05036|Angelópolis|municipio|82|6183|6464|75.51|78.95|05|ANTIOQUIA|6.111378005880063|-75.7094403248297
05038|Angostura|municipio|339|12190|12795|35.99|37.78|05|ANTIOQUIA|6.885613001759138|-75.33583665790619
05040|Anorí|municipio|1414|19812|20750|14.01|14.68|05|ANTIOQUIA|7.0736014341519295|-75.14696696735851
05042|Santa Fe de Antioquia|municipio|526|28246|29593|53.74|56.30|05|ANTIOQUIA|6.559304746853023|-75.82554116710203
05044|Anzá|municipio|256|7537|7909|29.45|30.90|05|ANTIOQUIA|6.303238881174947|-75.85388812497597
05045|Apartadó|municipio|535|132328|138614|247.26|259.01|05|ANTIOQUIA|7.882769586844133|-76.6246924930277
05051|Arboletes|municipio|754|32478|34795|43.06|46.13|05|ANTIOQUIA|8.850274356239412|-76.42637467965854
05055|Argelia|municipio|245|8075|8455|32.90|34.46|05|ANTIOQUIA|5.7308674957602515|-75.14247722196589
05059|Armenia|municipio|110|5450|5698|49.35|51.60|05|ANTIOQUIA|6.156330024755748|-75.78762726825538
05079|Barbosa|municipio|206|56505|59279|274.74|288.23|05|ANTIOQUIA|6.437959528588674|-75.33181557795535
05086|Belmira|municipio|296|6436|6763|21.73|22.84|05|ANTIOQUIA|6.605081889642885|-75.66637956683675
05088|Bello|municipio|148|570329|597042|3859.87|4040.66|05|ANTIOQUIA|6.336763653573097|-75.55959318370923
05091|Betania|municipio|181|10985|11498|60.85|63.69|05|ANTIOQUIA|5.7465062602781725|-75.97766476712631
05093|Betulia|municipio|262|16722|17545|63.74|66.87|05|ANTIOQUIA|6.112734623288922|-75.9844927934408
05101|Ciudad Bolívar|municipio|264|27884|29260|105.71|110.92|05|ANTIOQUIA|5.850500392183661|-76.02211169407822
05107|Briceño|municipio|376|8599|9009|22.85|23.94|05|ANTIOQUIA|7.113101872390654|-75.55111020393029
05113|Buriticá|municipio|355|10105|10582|28.45|29.79|05|ANTIOQUIA|6.71929640851882|-75.90801482355174
05120|Cáceres|municipio|1874|31368|32856|16.73|17.53|05|ANTIOQUIA|7.579035704425523|-75.34959846701801
05125|Caicedo|municipio|200|8938|9371|44.66|46.82|05|ANTIOQUIA|6.40528772140429|-75.98355033800924
05129|Caldas|municipio|133|86667|90860|652.83|684.41|05|ANTIOQUIA|6.09148251360607|-75.63527279939754
05134|Campamento|municipio|206|9839|10307|47.68|49.95|05|ANTIOQUIA|6.979542492897042|-75.2965070416172
05138|Cañasgordas|municipio|365|16487|17299|45.19|47.42|05|ANTIOQUIA|6.750924304278618|-76.0259782283167
05142|Caracolí|municipio|263|4850|5082|18.46|19.34|05|ANTIOQUIA|6.408632055869871|-74.75760976793387
05145|Caramanta|municipio|92|4973|5228|54.02|56.79|05|ANTIOQUIA|5.548931830943378|-75.64347491624282
05147|Carepa|municipio|387|52540|54942|135.66|141.87|05|ANTIOQUIA|7.755265645030667|-76.65576935168818
05148|El Carmen de Viboral|municipio|424|64717|67870|152.76|160.20|05|ANTIOQUIA|6.0879187954086635|-75.33749033658717
05150|Carolina|municipio|150|4242|4463|28.36|29.84|05|ANTIOQUIA|6.72376952619297|-75.2810908789624
05154|Caucasia|municipio|1429|98488|103229|68.92|72.23|05|ANTIOQUIA|7.9832059610386175|-75.19816855645493
05172|Chigorodó|municipio|722|62675|65630|86.85|90.94|05|ANTIOQUIA|7.664552020907265|-76.67748789767046
05190|Cisneros|municipio|47|10495|10996|223.61|234.28|05|ANTIOQUIA|6.538261737928017|-75.08703128733278
05197|Cocorná|municipio|242|16686|17764|69.01|73.48|05|ANTIOQUIA|6.057353796248057|-75.18553604732078
05206|Concepción|municipio|202|5093|5336|25.21|26.41|05|ANTIOQUIA|6.394628052728446|-75.25756740774064
05209|Concordia|municipio|248|22905|24023|92.40|96.91|05|ANTIOQUIA|6.04628007144264|-75.90674378923651
05212|Copacabana|municipio|68|84787|88912|1251.27|1312.15|05|ANTIOQUIA|6.3578708942762026|-75.50510827542881
05234|Dabeiba|municipio|1957|24765|25965|12.65|13.27|05|ANTIOQUIA|6.998103222440198|-76.25950941641788
05237|Donmatías|municipio|203|20498|21483|100.81|105.65|05|ANTIOQUIA|6.485679854635288|-75.3938152676658
05240|Ebéjico|municipio|238|12914|13527|54.31|56.89|05|ANTIOQUIA|6.3266485461438355|-75.76741843443607
05250|El Bagre|municipio|1560|56681|59345|36.32|38.04|05|ANTIOQUIA|7.604943133556276|-74.80900367820118
05264|Entrerríos|municipio|214|12158|12742|56.76|59.49|05|ANTIOQUIA|6.566282959717698|-75.51697700819486
05266|Envigado|municipio|83|250012|261707|2999.93|3140.26|05|ANTIOQUIA|6.167291852827353|-75.58369497631188
05282|Fredonia|municipio|258|26163|27441|101.37|106.31|05|ANTIOQUIA|5.927175691712644|-75.6721987799032
05284|Frontino|municipio|1384|22049|23129|15.93|16.71|05|ANTIOQUIA|6.7730070924247485|-76.13134509980789
05306|Giraldo|municipio|93|5988|6286|64.05|67.23|05|ANTIOQUIA|6.680772118405426|-75.95322325454516
05308|Girardota|municipio|83|56312|59014|679.64|712.25|05|ANTIOQUIA|6.377428995821943|-75.44556767918492
05310|Gómez Plata|municipio|332|10464|10966|31.50|33|05|ANTIOQUIA|6.681796677634777|-75.21973962834645
05313|Granada|municipio|190|10855|11399|57.06|59.92|05|ANTIOQUIA|6.139836264452333|-75.18283515819974
05315|Guadalupe|municipio|118|7015|7358|59.34|62.25|05|ANTIOQUIA|6.81474647043332|-75.24018030579002
05318|Guarne|municipio|152|60148|63024|396.20|415.15|05|ANTIOQUIA|6.282546759556999|-75.44464353324024
05321|Guatapé|municipio|83|9072|9473|108.87|113.68|05|ANTIOQUIA|6.2338496770873935|-75.15929455085814
05347|Heliconia|municipio|115|5754|6046|50.10|52.64|05|ANTIOQUIA|6.208321434703683|-75.73267016303923
05353|Hispania|municipio|54|5876|6160|108.45|113.69|05|ANTIOQUIA|5.799136942336142|-75.9084036607576
05360|Itagüí|municipio|20|301428|315760|15340.19|16069.58|05|ANTIOQUIA|6.168297587984889|-75.61879464100878
05361|Ituango|municipio|2841|29074|30494|10.23|10.73|05|ANTIOQUIA|7.172231174068721|-75.76439900558287
05364|Jardín|municipio|201|15637|16396|77.73|81.51|05|ANTIOQUIA|5.598821019865199|-75.81981810182697
05368|Jericó|municipio|205|14576|15271|71.10|74.49|05|ANTIOQUIA|5.7914371414059|-75.78472803664121
05376|La Ceja|municipio|133|70868|74322|533.99|560.01|05|ANTIOQUIA|6.029905137698197|-75.43057258236018
05380|La Estrella|municipio|37|78143|81910|2133.20|2236.04|05|ANTIOQUIA|6.151153193679575|-75.63662451337399
05390|La Pintada|municipio|54|8689|9211|160.03|169.64|05|ANTIOQUIA|5.7469939793022045|-75.60596691210307
05400|La Unión|municipio|168|23240|24328|138.55|145.03|05|ANTIOQUIA|5.973846915386043|-75.36097782604449
05411|Liborina|municipio|216|10709|11244|49.48|51.96|05|ANTIOQUIA|6.677599170129652|-75.811829980769
05425|Maceo|municipio|387|8785|9210|22.69|23.79|05|ANTIOQUIA|6.551319161960968|-74.78769076527406
05440|Marinilla|municipio|115|70392|73758|612.79|642.09|05|ANTIOQUIA|6.173043272545287|-75.33789137869697
05467|Montebello|municipio|76|7062|7413|92.89|97.50|05|ANTIOQUIA|5.945736427098339|-75.52418258484511
05475|Murindó|municipio|1266|5332|5558|4.21|4.39|05|ANTIOQUIA|6.980630530762106|-76.82168912309928
05480|Mutatá|municipio|1075|15148|15836|14.09|14.73|05|ANTIOQUIA|7.244097191947022|-76.43672519645885
05483|Nariño|municipio|317|10889|11441|34.38|36.12|05|ANTIOQUIA|5.609707775486118|-75.17727730781434
05490|Necoclí|municipio|1256|45834|48065|36.50|38.28|05|ANTIOQUIA|8.42578818064993|-76.7825615065924
05495|Nechí|municipio|937|28100|29411|29.98|31.38|05|ANTIOQUIA|8.091723256420707|-74.77564629452856
05501|Olaya|municipio|87|3350|3499|38.50|40.22|05|ANTIOQUIA|6.628041360364222|-75.81247572775065
05541|Peñol|municipio|118|22736|23848|192.17|201.56|05|ANTIOQUIA|6.220020099829339|-75.24352824273964
05543|Peque|municipio|434|8717|9117|20.07|21|05|ANTIOQUIA|7.02143107093327|-75.9088118183259
05576|Pueblorrico|municipio|75|9280|9734|123.02|129.03|05|ANTIOQUIA|5.793652496081632|-75.83838069933195
